# From Gordon et al. (2009, ApJ, 705, 1320), Table 2
# Edited to have uniform star names and clear column names
#Name           SpType  Comparison         V    AV AV_runc AV_sunc        EBV EBV_runc EBV_sunc  RV   RV_runc  RV_sunc	
HD190603	B1.5Ia	HD100276	5.64	2.35      0.29      0.02	0.73      0.034      0.022	3.24      0.410      0.008	
HD192639	O8V	HD093028	7.11	2.06      0.04      0.03	0.66      0.047      0.034	3.12      0.155      0.012	
HD197770	B2III	HD114444	6.32	1.43      0.04      0.03	0.55      0.045      0.034	2.59      0.145      0.012	
HD198781	B0.5V	HD097471	6.45	1.03      0.04      0.03	0.37      0.050      0.033	2.77      0.292      0.010	
HD199579	O6V	HD091824	5.96	0.93      0.05      0.02	0.31      0.048      0.028	2.96      0.400      0.007	
HD200775	B2Ve	BD+32d270	7.39	3.21      0.04      0.01	0.57      0.074      0.027	5.61      0.680      0.004	
HD203938	B0.5IV	HD172140	7.08	2.35      0.04      0.03	0.74      0.040      0.035	3.18      0.092      0.016	
HD206267	O6V	HD091824	5.62	1.26      0.05      0.02	0.47      0.044      0.020	2.66      0.242      0.007	
HD206773	B0V	HD097471	6.87	2.16      0.04      0.03	0.53      0.050      0.033	4.08      0.293      0.010	
HD207198	O9II	HD210809	5.94	1.54      0.03      0.01	0.58      0.032      0.026	2.68      0.106      0.009	
HD209339	B0IV	HD104705	6.65	1.05      0.04      0.03	0.37      0.054      0.037	2.83      0.320      0.011	
HD216898	O8.5V	HD093028	8.00	2.50      0.05      0.03	0.84      0.041      0.027	2.98      0.118      0.013	
HD239729	B0V	HD097471	8.35	2.01      0.04      0.03	0.66      0.044      0.024	3.04      0.178      0.010	
HD326329	O9V	HD093028	8.60	1.28      0.09      0.03	0.48      0.163      0.038	2.66      0.896      0.013	
HD332407	B1Ib	HD100276	8.50	1.19      0.04      0.02	0.39      0.039      0.033	3.08      0.179      0.009	
